idx,year,month,day,miss,need,bought,peak_bldg_buy_kwh,offpeak_bldg_buy_kwh,peak_chg_buy_kwh,offpeak_chg_buy_kwh,policy
474,2024,1,22,0.0,85.40420000000002,364.9748,967.575,261.5375,570.0,0.0,5.0
475,2024,1,23,0.0,73.40799999999999,367.5522,922.2875,272.475,555.0,0.0,5.0
476,2024,1,24,0.0,58.28,267.064,1120.025,300.82500000000005,305.0,0.0,5.0
477,2024,1,25,0.0,31.788000000000004,167.94,1153.4875,294.5125,185.0,0.0,5.0
478,2024,1,26,0.0,71.95160000000001,287.7888,1096.5,294.54999999999995,430.0,0.0,5.0
479,2024,1,27,0.0,5.507999999999999,21.092,568.6750000000001,283.4625,25.0,0.0,5.0
480,2024,1,28,0.0,2.0680000000000014,21.8,588.7,283.11249999999995,25.0,0.0,5.0
481,2024,1,29,0.0,122.5402,517.0041999999999,1428.2125,288.0,710.0,0.0,5.0
482,2024,1,30,0.0,73.21079999999999,255.57919999999996,1252.0124999999998,291.6625,535.0,0.0,5.0
483,2024,1,31,0.0,98.2014,448.5632,1125.5625,276.04999999999995,680.0,0.0,5.0
484,2023,4,1,0.0,11.9,20.0,833.75,250.0,20.0,0.0,4.0
485,2023,4,2,0.1583999999999967,12.356799999999993,20.000000000000004,833.75,242.85,20.0,0.0,4.0
486,2023,4,3,0.0,34.34720000000001,49.99999999999999,833.75,242.85,50.0,0.0,4.0
487,2023,4,4,1.9799999999999969,66.257,89.99999999999997,833.75,242.85,90.0,0.0,4.0
488,2023,4,5,0.0,46.908,60.000000000000014,833.75,242.90000000000003,60.0,0.0,4.0
489,2023,4,6,0.0,101.261,110.00000000000004,833.75,242.90000000000003,110.0,0.0,4.0
490,2023,4,7,1.5504000000000069,109.76019999999998,145.0,793.9625000000001,232.94166666666663,145.0,0.0,4.0
491,2023,4,8,0.0,12.046600000000003,15.000000000000004,450.3375,224.65833333333333,15.0,0.0,4.0
492,2023,4,9,0.0,23.119000000000003,30.000000000000007,451.6125,216.575,30.0,0.0,4.0
493,2023,4,10,0.8717999999999897,100.9848,120.0,1219.4916666666666,225.1833333333333,120.0,0.0,4.0
494,2023,4,11,0.0,58.6592,75.0,1068.3041666666668,216.6833333333333,75.0,0.0,4.0
495,2023,4,12,0.2920000000000051,96.3734,110.0,960.2875,213.3875,110.0,0.0,4.0
496,2023,4,13,0.4531999999999954,113.041,149.99999999999997,949.79375,219.10625,150.0,0.0,4.0
497,2023,4,14,0.1519999999999974,67.80839999999999,89.99999999999999,976.975,213.1125,90.0,0.0,4.0
498,2023,4,15,0.0,4.352,5.0,425.2,211.025,5.0,0.0,4.0
499,2023,4,16,0.0,2.5520000000000014,5.000000000000002,447.70416666666665,222.5583333333333,5.0,0.0,4.0
500,2023,4,17,0.0,33.623999999999995,45.0,900.0375,236.65,45.0,0.0,4.0
501,2023,4,18,0.0439999999999969,20.72,30.000000000000007,880.5062499999999,238.31875,30.0,0.0,4.0
502,2023,4,19,0.0,90.876,105.00000000000004,993.3625,241.4125,105.0,0.0,4.0
503,2023,4,20,0.0,79.8658,95.0,1125.8416666666667,235.1458333333333,95.0,0.0,4.0
504,2023,4,21,2.319600000000001,110.2194,135.0,1313.0125,238.3,135.0,0.0,4.0
505,2023,4,22,0.7799999999999976,24.9712,30.0,463.0958333333333,207.30416666666667,30.0,0.0,4.0
506,2023,4,23,0.0,12.691399999999998,14.999999999999996,440.0875,204.25,15.0,0.0,4.0
507,2023,4,24,0.0,67.69160000000001,85.0,1166.5875,211.2375,85.0,0.0,4.0
508,2023,4,25,1.8199999999999967,87.08479999999999,105.00000000000004,1342.6,224.8375,105.0,0.0,4.0
509,2023,4,26,0.6081999999999965,72.80219999999997,80.00000000000001,1489.275,238.7,80.0,0.0,4.0
510,2023,4,27,0.0,68.027,90.0,1651.6,245.575,90.0,0.0,4.0
511,2023,4,28,0.0,66.40780000000001,80.00000000000001,1447.4625,251.5375,80.0,0.0,4.0
